"Région","District","Catégorie","Sous-catégorie","Désignation","Valeur"
"KABADOUGOU","District du Denguélé","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",29
"FOLON","District du Denguélé","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",56
"PORO","District du Poro","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",239
"BAGOUE","District du Bagoué","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",95
"TCHOLOGO","District du Tchologo","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",70
"BOUNKANI","District du Bounkani","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",344
"GONTOUGO","District du Gontougo","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",253
"YAMOUSSOUKRO","District autonome de Yamoussoukro","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",94
"NAWA","District des Lagunes","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",178
"GBÔKLE","District des Lagunes","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",48
"SAN-PEDRO","District de San-Pedro","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",95
"INDENIE-DJUABLIN","District du Sud-Comoé","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",122
"SUD-COMOE","District du Sud-Comoé","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",75
"GÔH","District du Gôh-Djiboua","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",181
"LÔH-DJIBOUA","District du Gôh-Djiboua","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",117
"BELIER","District du Bélier","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",166
"IFFOU","District de l'Iffou","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",150
"MORONOU","District du Moronou","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",59
"N'ZI","District du N'Zi","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",97
"GRANDS-PONTS","District des Grands-Ponts","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",21
"AGNEBY-TIASSA","District de l'Agnéby-Tiassa","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",102
"LA ME","District de La Mé","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",41
"TONKPI","District de Tonkpi","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",126
"CAVALLY","District des Montagnes","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",45
"GUEMON","District des Montagnes","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",96
"HAUT-SASSANDRA","District du Sassandra-Marahoué","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",156
"MARAHOUE","District du Sassandra-Marahoué","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",183
"HAMBOL","District de la Vallée du Bandama","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",114
"GBEKE","District de la Vallée du Bandama","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",155
"BERE","District du Woroba","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",205
"BAFING","District du Woroba","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",309
"WORODOUGOU","District du Woroba","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",173
"Autres","Autres","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre de PMH reparées",340
"KABADOUGOU","District du Denguélé","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",410
"FOLON","District du Denguélé","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",244
"PORO","District du Poro","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",1523
"BAGOUE","District du Bagoué","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",567
"TCHOLOGO","District du Tchologo","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",950
"BOUNKANI","District du Bounkani","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",939
"GONTOUGO","District du Gontougo","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",1203
"YAMOUSSOUKRO","District autonome de Yamoussoukro","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",279
"NAWA","District des Lagunes","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",628
"GBÔKLE","District des Lagunes","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",158
"SAN-PEDRO","District de San-Pedro","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",186
"INDENIE-DJUABLIN","District du Sud-Comoé","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",401
"SUD-COMOE","District du Sud-Comoé","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",226
"GÔH","District du Gôh-Djiboua","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",623
"LÔH-DJIBOUA","District du Gôh-Djiboua","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",416
"BELIER","District du Bélier","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",491
"IFFOU","District de l'Iffou","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",564
"MORONOU","District du Moronou","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",149
"N'ZI","District du N'Zi","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",355
"GRANDS-PONTS","District des Grands-Ponts","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",97
"AGNEBY-TIASSA","District de l'Agnéby-Tiassa","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",450
"LA ME","District de La Mé","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",130
"TONKPI","District de Tonkpi","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",719
"CAVALLY","District des Montagnes","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",171
"GUEMON","District des Montagnes","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",435
"HAUT-SASSANDRA","District du Sassandra-Marahoué","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",741
"MARAHOUE","District du Sassandra-Marahoué","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",701
"HAMBOL","District de la Vallée du Bandama","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",440
"GBEKE","District de la Vallée du Bandama","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",695
"BERE","District du Woroba","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",505
"BAFING","District du Woroba","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",638
"WORODOUGOU","District du Woroba","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",410
"Autres","Autres","Electricité et Hydraulique","Pompe à Mobilité Humaine (PMH)","Nombre total de PMH",382
"KABADOUGOU","District du Denguélé","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",6
"FOLON","District du Denguélé","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",7
"PORO","District du Poro","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",78
"BAGOUE","District du Bagoué","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",3
"TCHOLOGO","District du Tchologo","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",19
"BOUNKANI","District du Bounkani","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",109
"GONTOUGO","District du Gontougo","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",29
"YAMOUSSOUKRO","District autonome de Yamoussoukro","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",2
"NAWA","District des Lagunes","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",9
"GBÔKLE","District des Lagunes","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",14
"SAN-PEDRO","District de San-Pedro","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",24
"INDENIE-DJUABLIN","District du Sud-Comoé","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",1
"SUD-COMOE","District du Sud-Comoé","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",1
"GÔH","District du Gôh-Djiboua","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",
"LÔH-DJIBOUA","District du Gôh-Djiboua","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",11
"BELIER","District du Bélier","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",8
"IFFOU","District de l'Iffou","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",38
"MORONOU","District du Moronou","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",1
"N'ZI","District du N'Zi","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",4
"GRANDS-PONTS","District des Grands-Ponts","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",8
"AGNEBY-TIASSA","District de l'Agnéby-Tiassa","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",2
"LA ME","District de La Mé","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",8
"TONKPI","District de Tonkpi","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",40
"CAVALLY","District des Montagnes","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",6
"GUEMON","District des Montagnes","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",12
"HAUT-SASSANDRA","District du Sassandra-Marahoué","Electricité et Hydraulique","Electrification","Nombre de localités électrifiées",21
